,0
0,x25
1,x26
2,x27
3,x28
4,x29
5,x30
6,x31
7,x32
8,x33
9,x34
10,x35
11,x36
12,x37
13,x38
14,x39
15,x40
16,x41
17,x42
18,x43
19,x44
20,x46
21,x49
22,x50
23,x53
24,x54
25,x58
26,x60
27,x64
28,x65
29,x75
30,x80
31,x88
32,x111
33,x147
34,x189
35,x203
36,x204
37,x208
38,x210
39,y5
40,y11
41,y18
42,y20
43,y21
44,y34
45,y37
46,y49
47,y53
48,y67
49,y69
50,y136
51,y143
52,y145
53,y151
54,y159
55,y165
56,y179
57,y180
58,y181
59,y182
60,y183
61,y184
62,y186
63,y187
64,y189
65,y190
66,y192
67,y194
68,y195
69,y196
70,y199
71,y200
72,y201
73,y202
74,y203
75,y206
76,y209
77,y214
78,z8
79,z10
80,z22
81,z24
82,z75
83,z110
84,z135
85,z173
86,z181
87,z193
88,z202
89,z204
90,z208
91,z215
92,z219
93,z220
94,subject_C
95,subject_F
96,subject_G
97,subject_M
98,phase_1
99,phase_2
