,0
0,x5
1,x13
2,x19
3,x34
4,x35
5,x49
6,x50
7,x51
8,x52
9,x54
10,x55
11,x56
12,x58
13,x80
14,x85
15,x112
16,x153
17,x170
18,x174
19,x175
20,x179
21,x188
22,x201
23,x203
24,x204
25,x205
26,x208
27,x209
28,y5
29,y8
30,y12
31,y13
32,y19
33,y34
34,y51
35,y52
36,y53
37,y54
38,y55
39,y56
40,y70
41,y76
42,y82
43,y84
44,y94
45,y108
46,y168
47,y172
48,y176
49,y202
50,y203
51,y205
52,y208
53,y212
54,y219
55,y221
56,z5
57,z7
58,z8
59,z12
60,z13
61,z18
62,z33
63,z49
64,z50
65,z51
66,z52
67,z53
68,z54
69,z55
70,z56
71,z58
72,z59
73,z69
74,z75
75,z78
76,z79
77,z80
78,z85
79,z108
80,z109
81,z110
82,z111
83,z112
84,z180
85,z187
86,z188
87,z200
88,z202
89,z205
90,z206
91,z207
92,z209
93,subject_D
94,subject_G
95,subject_I
96,subject_K
97,subject_L
98,subject_M
99,phase_2
