NCT#,phase,condition,sponsor,start_date,mesh_list,criterion
NCT00000172,Phase 3,Alzheimer Disease,"Janssen, LP",unknown,Alzheimer Disease;Galantamine, Conditions that could confound diagnosis
NCT00000172,Phase 3,Alzheimer Disease,"Janssen, LP",unknown,Alzheimer Disease;Galantamine, Neurodegenerative disorders
NCT00000172,Phase 3,Alzheimer Disease,"Janssen, LP",unknown,Alzheimer Disease;Galantamine, Acute cerebral trauma
NCT00000172,Phase 3,Alzheimer Disease,"Janssen, LP",unknown,Alzheimer Disease;Galantamine, Psychiatric disease
NCT00000172,Phase 3,Alzheimer Disease,"Janssen, LP",unknown,Alzheimer Disease;Galantamine, More than one infarct on CT/MRI scans
NCT00000172,Phase 3,Alzheimer Disease,"Janssen, LP",unknown,Alzheimer Disease;Galantamine, History of alcohol or drug abuse
NCT00000172,Phase 3,Alzheimer Disease,"Janssen, LP",unknown,Alzheimer Disease;Galantamine, Contradictions for a cholinominetic agent: seizures; ulcers; pulmonary conditions (including severe asthma); unstable angina; Afib; bradycardia less than 50; and AV block.
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil," Any significant neurologic disease other than suspected incipient Alzheimer's disease, such as Parkinson's disease, multi-infarct dementia, Huntington's disease, normal pressure hydrocephalus, brain tumor, progressive supranuclear palsy, seizure disorder, subdural hematoma, multiple sclerosis, or history of significant head trauma followed by persistent neurologic defaults or known structural brain abnormalities."
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil, Major depression or another major psychiatric disorder as described in DSM IV within the past 2 years.
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil," Psychotic features, agitation or behavioral problems within the last 3 months which could lead to difficulty complying with the protocol."
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil, History of alcohol or substance abuse or dependence within the past 2 years (DSM IV criteria).
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil, History of schizophrenia (DSM IV criteria).
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil," Any significant systemic illness or unstable medical condition which could lead to difficulty complying with the protocol including: a) History of systemic cancer within the last 5 years (non-metastatic skin cancers are acceptable). b) History of myocardial infarction within the past year or unstable or severe cardiovascular disease including angina or CHF with symptoms at rest. c) Clinically significant obstructive pulmonary disease or asthma. d) Clinically significant and unstable gastrointestinal disorder such as ulcer disease or a history of active or occult gastrointestinal bleeding within two years. e) Clinically significant laboratory test abnormalities on the battery of screening tests (hematology, prothrombin time, chemistry, urinalysis, ECG). f) Insulin-requiring diabetes or uncontrolled diabetes mellitus. g) Uncontrolled hypertension (systolic BP greater than 170 or diastolic greater than 100). h) History of clinically significant liver disease, coagulopathy, or vitamin K deficiency within the past 2 years."
