NCT#,phase,condition,sponsor,start_date,mesh_list,criterion
NCT00000172,Phase 3,Alzheimer Disease,"Janssen, LP",unknown,Alzheimer Disease;Galantamine, Probable Alzheimer's disease
NCT00000172,Phase 3,Alzheimer Disease,"Janssen, LP",unknown,Alzheimer Disease;Galantamine, Mini-Mental State Examination (MMSE) 10-22 and ADAS greater than or equal to 18
NCT00000172,Phase 3,Alzheimer Disease,"Janssen, LP",unknown,Alzheimer Disease;Galantamine, Alzheimer's Disease Assessment Scale cognitive portion (ADAS-cog-11) score of at least 18
NCT00000172,Phase 3,Alzheimer Disease,"Janssen, LP",unknown,Alzheimer Disease;Galantamine, Opportunity for Activities of Daily Living
NCT00000172,Phase 3,Alzheimer Disease,"Janssen, LP",unknown,Alzheimer Disease;Galantamine, Caregiver
NCT00000172,Phase 3,Alzheimer Disease,"Janssen, LP",unknown,Alzheimer Disease;Galantamine," Subjects who live with or have regular daily visits from a responsible caregiver (visit frequency: preferably daily but at least 5 days/week). This includes a friend or relative or paid personnel. The caregiver should be capable of assisting with the subject's medication, prepared to attend with the subject for assessments, and willing to provide information about the subject."
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil, Memory complaints and memory difficulties which are verified by an informant.
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil," Abnormal memory function documented by scoring below the education adjusted cutoff on the Logical Memory II subscale (Delayed Paragraph Recall) from the Wechsler Memory Scale - Revised (the maximum score is 25): a) less than or equal to 8 for 16 or more years of education, b) less than or equal to 4 for 8-15 years of education, c) less than or equal to 2 for 0-7 years of education."
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil, Mini-Mental Exam score between 24 and 30 (inclusive) (Exceptions may be made for subjects with less than 8 years of education at the discretion of the project director.).
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil, Clinical Dementia Rating = 0.5. Memory Box score must be at least 0.5.
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil, General cognition and functional performance sufficiently preserved such that a diagnosis of Alzheimer's disease cannot be made by the site physician at the time of the screening visit.
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil, No significant cerebrovascular disease: Modified Hachinski score of less than or equal to 4.
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil, Age between 55 and 90 (inclusive).
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil," Permitted medications stable for at least 1 month prior to screening. In particular: a) Subjects may take stable doses of antidepressants lacking significant anticholinergic side effects (if they are not currently depressed and do not have a history of major depression within the past 2 years). b) Estrogen replacement therapy is permissible. c) Ginkgo biloba is permissible, but discouraged."
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil, Hamilton Depression rating scale score of less than or equal to 12 on the 17-item scale.
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil," Informant is available who has frequent contact with the subject (e.g. an average of 10 hours per week or more), agrees to monitor administration of study drug, observe for adverse events, and accompany the subject to all clinic visits for the duration of the protocol."
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil," CT or MRI scans within 12 months prior to screening without evidence of infection, infarction, or other focal lesions and without clinical symptoms suggestive of intervening neurological disease. A lacune in a non-critical brain area which is not believed to contribute to the subject's cognitive impairment is permissible."
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil, Adequate visual and auditory acuity to allow neuropsychological testing.
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil, Good general health with no additional diseases expected to interfere with the study.
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil," Normal B12, RPR, and Thyroid Function Tests or without any clinically significant abnormalities that would be expected to interfere with the study."
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil, ECG without clinically significant abnormalities that would be expected to interfere with the study.
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil," Subject is not pregnant, lactating, or of childbearing potential (i.e. women must be two years post-menopausal or surgically sterile)."
NCT00000173,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Mar-99,Alzheimer Disease;Cognitive Dysfunction;Vitamin E;Donepezil," Agreement not to take other vitamin supplements (including Vitamin E), multivitamins, other than those provided by the study."
NCT00000177,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),Oct-95,Alzheimer Disease;Estrogens," Women with a diagnosis of Alzheimer's disease who currently are not taking estrogen replacement therapy, who have had a hysterectomy, and who are in stable general health."
NCT00000178,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),unknown,Alzheimer Disease;Prednisone, Patients with Alzheimer's disease who are in stable medical condition
NCT00000179,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),unknown,Alzheimer Disease;Haloperidol;Haloperidol decanoate;Trazodone, Memory problem consistent with a probable diagnosis of Alzheimer's disease (AD)
NCT00000179,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),unknown,Alzheimer Disease;Haloperidol;Haloperidol decanoate;Trazodone, Agitation symptoms for at least the past 2 weeks
NCT00000179,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),unknown,Alzheimer Disease;Haloperidol;Haloperidol decanoate;Trazodone, Patient has caregiver who can participate
NCT00000179,Phase 3,Alzheimer Disease,National Institute on Aging (NIA),unknown,Alzheimer Disease;Haloperidol;Haloperidol decanoate;Trazodone, Patient lives in the same household as the caregiver
NCT00004845,Phase 2/Phase 3,Alzheimer Disease,National Institute on Aging (NIA),unknown,Alzheimer Disease;Naproxen;Rofecoxib, NINCDS/ADRDA criteria for probable AD
NCT00004845,Phase 2/Phase 3,Alzheimer Disease,National Institute on Aging (NIA),unknown,Alzheimer Disease;Naproxen;Rofecoxib," MMSE between 13 and 26, inclusive"
NCT00004845,Phase 2/Phase 3,Alzheimer Disease,National Institute on Aging (NIA),unknown,Alzheimer Disease;Naproxen;Rofecoxib, Stable medical condition for 3 months
NCT00004845,Phase 2/Phase 3,Alzheimer Disease,National Institute on Aging (NIA),unknown,Alzheimer Disease;Naproxen;Rofecoxib, Screening visit
NCT00004845,Phase 2/Phase 3,Alzheimer Disease,National Institute on Aging (NIA),unknown,Alzheimer Disease;Naproxen;Rofecoxib," Physically acceptable for this study as confirmed by medical history, physical exam, neurologic exam, and clinical laboratory tests"
NCT00004845,Phase 2/Phase 3,Alzheimer Disease,National Institute on Aging (NIA),unknown,Alzheimer Disease;Naproxen;Rofecoxib, Supervision available for administration of study medications; caregiver/informant to accompany patient to all scheduled visits
NCT00004845,Phase 2/Phase 3,Alzheimer Disease,National Institute on Aging (NIA),unknown,Alzheimer Disease;Naproxen;Rofecoxib, Fluent in English or Spanish
NCT00004845,Phase 2/Phase 3,Alzheimer Disease,National Institute on Aging (NIA),unknown,Alzheimer Disease;Naproxen;Rofecoxib, Age greater than or equal to 55 years old
NCT00004845,Phase 2/Phase 3,Alzheimer Disease,National Institute on Aging (NIA),unknown,Alzheimer Disease;Naproxen;Rofecoxib, Modified Hachinski of less than or equal to 4
NCT00004845,Phase 2/Phase 3,Alzheimer Disease,National Institute on Aging (NIA),unknown,Alzheimer Disease;Naproxen;Rofecoxib, CT or MRI since onset of memory impairment demonstrating absence of clinically significant focal lesion
NCT00004845,Phase 2/Phase 3,Alzheimer Disease,National Institute on Aging (NIA),unknown,Alzheimer Disease;Naproxen;Rofecoxib, Able to complete baseline assessments
NCT00004845,Phase 2/Phase 3,Alzheimer Disease,National Institute on Aging (NIA),unknown,Alzheimer Disease;Naproxen;Rofecoxib, 6 years of education or work history sufficient to exclude mental retardation
NCT00004845,Phase 2/Phase 3,Alzheimer Disease,National Institute on Aging (NIA),unknown,Alzheimer Disease;Naproxen;Rofecoxib, Able to ingest oral medication
NCT00006187,Phase 3,Alzheimer Disease,Merck Sharp &amp; Dohme LLC,unknown,Alzheimer Disease, Patient is male or female and at least 50 years of age or older
NCT00006187,Phase 3,Alzheimer Disease,Merck Sharp &amp; Dohme LLC,unknown,Alzheimer Disease, Female patients must be postmenopausal or surgically sterilized
NCT00006187,Phase 3,Alzheimer Disease,Merck Sharp &amp; Dohme LLC,unknown,Alzheimer Disease, Clinical diagnosis of AD
NCT00006187,Phase 3,Alzheimer Disease,Merck Sharp &amp; Dohme LLC,unknown,Alzheimer Disease, Patient must be in good health except for AD diagnosis
NCT00006187,Phase 3,Alzheimer Disease,Merck Sharp &amp; Dohme LLC,unknown,Alzheimer Disease, Patient must have informant/caregiver who can monitor and assist patient during the study
NCT00006399,Phase 2,Alzheimer Disease,National Center for Research Resources (NCRR),Sep-99,Alzheimer Disease;Donepezil;Progesterone;Estrogens, Normal volunteers and women with mild Alzheimer's disease:
NCT00006399,Phase 2,Alzheimer Disease,National Center for Research Resources (NCRR),Sep-99,Alzheimer Disease;Donepezil;Progesterone;Estrogens, Non-smoker
NCT00006399,Phase 2,Alzheimer Disease,National Center for Research Resources (NCRR),Sep-99,Alzheimer Disease;Donepezil;Progesterone;Estrogens, No use of Hormone Replacement Therapy for at least one year
NCT00006399,Phase 2,Alzheimer Disease,National Center for Research Resources (NCRR),Sep-99,Alzheimer Disease;Donepezil;Progesterone;Estrogens, No menses for at least one year
NCT00006399,Phase 2,Alzheimer Disease,National Center for Research Resources (NCRR),Sep-99,Alzheimer Disease;Donepezil;Progesterone;Estrogens, Normal mammogram within the last year
NCT00006399,Phase 2,Alzheimer Disease,National Center for Research Resources (NCRR),Sep-99,Alzheimer Disease;Donepezil;Progesterone;Estrogens, minimum age is 45 for patients with Alzheimer's disease; 50 for normal volunteers
NCT00006399,Phase 2,Alzheimer Disease,National Center for Research Resources (NCRR),Sep-99,Alzheimer Disease;Donepezil;Progesterone;Estrogens, Maximum age is 85 for patients with Alzheimer's disease; there is no maximum age for normal volunteers.
NCT00007189,Phase 3,Alzheimer Disease,Seattle Institute for Biomedical and Clinical Research,Jan-01,Alzheimer Disease;Celecoxib;Naproxen, Aged 70 years or older.
NCT00007189,Phase 3,Alzheimer Disease,Seattle Institute for Biomedical and Clinical Research,Jan-01,Alzheimer Disease;Celecoxib;Naproxen," Family history of parent, brother, or sister who has, or had, serious age-related memory loss, senility, dementia, or Alzheimer's disease."
NCT00007189,Phase 3,Alzheimer Disease,Seattle Institute for Biomedical and Clinical Research,Jan-01,Alzheimer Disease;Celecoxib;Naproxen," Study partner available to provide information on the cognitive status of the participant and to assist with monitoring of trial medications, if needed."
NCT00007189,Phase 3,Alzheimer Disease,Seattle Institute for Biomedical and Clinical Research,Jan-01,Alzheimer Disease;Celecoxib;Naproxen, Sufficient fluency in written and spoken English to participate in study visits and neuropsychological testing.
NCT00007189,Phase 3,Alzheimer Disease,Seattle Institute for Biomedical and Clinical Research,Jan-01,Alzheimer Disease;Celecoxib;Naproxen," Willingness to limit use of the following for the duration of the study: vitamin E (at doses greater than 400 IU per day), non-aspirin NSAIDs, histamine H2 receptor antagonists (Tagamet, for example), corticosteroids, anti-inflammatory or analgesic doses of aspirin (greater than 81 mg per day), Ginkgo biloba extracts"
NCT00007189,Phase 3,Alzheimer Disease,Seattle Institute for Biomedical and Clinical Research,Jan-01,Alzheimer Disease;Celecoxib;Naproxen," Ability and intention to participate in regular study visits, in the opinion of the study physician."
NCT00007189,Phase 3,Alzheimer Disease,Seattle Institute for Biomedical and Clinical Research,Jan-01,Alzheimer Disease;Celecoxib;Naproxen, Provision of informed consent.
NCT00010803,Phase 3,Alzheimer's Disease,National Center for Complementary and Integrative Health (NCCIH),Oct-00,Alzheimer Disease, Non-demented participants
NCT00010803,Phase 3,Alzheimer's Disease,National Center for Complementary and Integrative Health (NCCIH),Oct-00,Alzheimer Disease, Willing to participate in a seven-year follow-up trial of Ginkgo Biloba
NCT00010803,Phase 3,Alzheimer's Disease,National Center for Complementary and Integrative Health (NCCIH),Oct-00,Alzheimer Disease, English is their usual language
NCT00010803,Phase 3,Alzheimer's Disease,National Center for Complementary and Integrative Health (NCCIH),Oct-00,Alzheimer Disease, Willing informant who has frequent contact with the participant
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium," Prior to participation in this study, each prospective study individual must sign an informed consent form."
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Diagnosis of probable or possible Alzheimer's disease according to NINDS-ADRDA and DSM-IV criteria.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Not actively participating in another clinical drug trial.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, MMSE range 12-28 at entry.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Hachinski Modified Ischemic score less than  or =4.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Accompanied by appropriate caregiver who can aid in administration of medication and make assessments.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium," Good general health as evidenced by physical, neurological and clinical laboratory examination."
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Education level greater than  or = 9th grade or equivalent.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Fluent in the English language.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Reliable caregiver.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Able to complete neuropsychological tests.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Ambulatory.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, On stable doses of medications for the treatment of non-excluded medical conditions for four weeks prior to screening.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Able to participate in all scheduled evaluations.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Geriatric Depression Scale less than  or = 20.
