NCT#	phase	condition	sponsor	start_date	mesh_list	criterion
NCT00003045		Prostate Cancer	Dana-Farber Cancer Institute	10-Feb-15	Prostatic Neoplasms;Hyperthermia	Prior history of malignancy (except for non-melanoma skin cancer)
NCT00003045		Prostate Cancer	Dana-Farber Cancer Institute	10-Feb-15	Prostatic Neoplasms;Hyperthermia	Prior systemic therapy
NCT00003045		Prostate Cancer	Dana-Farber Cancer Institute	10-Feb-15	Prostatic Neoplasms;Hyperthermia	No prior chemotherapy
NCT00003045		Prostate Cancer	Dana-Farber Cancer Institute	10-Feb-15	Prostatic Neoplasms;Hyperthermia	No prior hormonal therapy other than that recommended in this protocol
NCT00003045		Prostate Cancer	Dana-Farber Cancer Institute	10-Feb-15	Prostatic Neoplasms;Hyperthermia	Prior pelvic radiotherapy
NCT00003045		Prostate Cancer	Dana-Farber Cancer Institute	10-Feb-15	Prostatic Neoplasms;Hyperthermia	Medical problems (such as an abnormal bleeding propensity) which would make transrectal ultrasound-directed transperineal thermal probe placement hazardous.
NCT00003045		Prostate Cancer	Dana-Farber Cancer Institute	10-Feb-15	Prostatic Neoplasms;Hyperthermia	Patients with severe insulin-dependent diabetes mellitus and evidence of neuropathy or vaculopathy
NCT00003045		Prostate Cancer	Dana-Farber Cancer Institute	10-Feb-15	Prostatic Neoplasms;Hyperthermia	Patients with unstable cardiac status including:
NCT00003045		Prostate Cancer	Dana-Farber Cancer Institute	10-Feb-15	Prostatic Neoplasms;Hyperthermia	Unstable angina pectoris on medication
NCT00003045		Prostate Cancer	Dana-Farber Cancer Institute	10-Feb-15	Prostatic Neoplasms;Hyperthermia	Patients with documented myocardial infarction within six months of protocol entry
NCT00003045		Prostate Cancer	Dana-Farber Cancer Institute	10-Feb-15	Prostatic Neoplasms;Hyperthermia	Congestive heart failure requiring medication
NCT00003045		Prostate Cancer	Dana-Farber Cancer Institute	10-Feb-15	Prostatic Neoplasms;Hyperthermia	Patients on anti-arrhythmic drugs
NCT00003045		Prostate Cancer	Dana-Farber Cancer Institute	10-Feb-15	Prostatic Neoplasms;Hyperthermia	Severe hypertension (diastolic BP> 100 on medication
NCT00003045		Prostate Cancer	Dana-Farber Cancer Institute	10-Feb-15	Prostatic Neoplasms;Hyperthermia	Patients with cardiac pacemakers
NCT00003045		Prostate Cancer	Dana-Farber Cancer Institute	10-Feb-15	Prostatic Neoplasms;Hyperthermia	Severe cerebrovascular disease (multiple CVA or CVA within 6 months)
NCT00003045		Prostate Cancer	Dana-Farber Cancer Institute	10-Feb-15	Prostatic Neoplasms;Hyperthermia	"Severe COPD (medication requiring, with FEV 1 < 50% of expected or < 1 liter)"
