NCT#	phase	condition	sponsor	start_date	mesh_list	criterion	Ground_Truth
NCT01650441	Phase 2	Asthma	"University Hospital, Antwerp"	10-Feb-15	Asthma	Inability to carry out pulmonary function testing	0
NCT02162784	Phase 2	Asthma	Intech Biopharm Ltd.	10-Feb-15	Asthma	Inability to carry out pulmonary function testing;	0
NCT02740543	Phase 2	Asthma	NYU Langone Health	10-Feb-15	Asthma	Inability to perform lung function or other maneuvers	0
NCT02227394	Phase 2	Asthma;Asthma Chronic;Asthma Bronchial;Asthmatic	Zambon SpA	10-Feb-15	Asthma	Patient unable to perform pulmonary function testing	0
NCT00465413	Phase 2	Asthma	Mackay Memorial Hospital	10-Feb-15		poor performance of pulmonary function testing. 	0
NCT00394654	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	"Acute illnesses or evidence of clinically significant active infection, such as fever ³"	1
NCT00983658	Phase 2	Asthma	"Genentech, Inc."	10-Feb-15	Asthma;Airway Obstruction	Acute infection (including viral infection) within the 6 weeks preceding dosing (8 weeks for respiratory infections) or any ongoing chronic infection	1
NCT01563029	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Culture-documented or suspected bacterial or viral infection	1
NCT01573767	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Culture-documented or suspected bacterial or viral infection	1
NCT00634036	Phase 2	Asthma	Fernando Holguin	10-Feb-15	Asthma	"Current/active upper respiratory infection (if active URI, wait until asymptomatic for 1 week to enroll)"	1
NCT00787644	Phase 2	Asthma;Obesity	University of Vermont	10-Feb-15	Asthma	"Current/active upper respiratory infection (if active URI, wait until asymptomatic for 1 week to enroll)"	1
NCT04643158	Phase 2	Asthma	AstraZeneca	10-Feb-15	Asthma;Respiratory Aspiration	Diagnosis of / suspected COVID-19 infection with associated pneumonia / pneumonitis.	1
NCT01123252	Phase 2	Seasonal Affective Rhinitis;Asthma;Grass Allergy	University of East Anglia	10-Feb-15	"Rhinitis;Rhinitis, Allergic;Rhinitis, Allergic, Seasonal"	Documented evidence of acute or significant chronic sinusitis	1
NCT00768079	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	"Evidence of clinically significant non-respiratory active infection, including ongoing chronic infection"	1
NCT00278083	Phase 2	Asthma	Imperial College London	10-Feb-15	Asthma	Have a chronic or recurrent infectious disease	1
NCT04150341	Phase 2	Asthma	Theravance Biopharma	10-Feb-15	Asthma	"Have a current bacterial, parasitic, fungal or viral infection"	1
NCT00278083	Phase 2	Asthma	Imperial College London	10-Feb-15	Asthma	"Have a history of chronic cough, haemoptysis, weight loss, or pyrexia considered suggestive of possible current tuberculosis infection"	1
NCT00278083	Phase 2	Asthma	Imperial College London	10-Feb-15	Asthma	Have a history of opportunistic infections	1
NCT04589663	Phase 2	Asthma	Novartis Pharmaceuticals	10-Feb-15	Asthma	"History of active bacterial, viral or fungal infection (including SARS-CoV-2) within 6 weeks of first treatment visit (Day 1)"	1
NCT01196039	Phase 2	Asthma	"Genentech, Inc."	10-Feb-15	Asthma;Airway Obstruction	History of recurrent bacterial infection as an adult or history or presence of any chronic infectious condition	1
NCT00983658	Phase 2	Asthma	"Genentech, Inc."	10-Feb-15	Asthma;Airway Obstruction	"History of recurrent bacterial infection as an adult or history or presence of any chronic infectious condition, including (but not limited to), tuberculosis, parasitic infection, etc."	1
NCT00697801	Phase 2	Asthma	Allergan	10-Feb-15	Asthma	History suggestive (or diagnosis) of other concomitant lung disease. 	1
NCT03207243	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Ongoing or recurrent infections requiring systemic antibiotics. 	1
NCT00278083	Phase 2	Asthma	Imperial College London	10-Feb-15	Asthma	Patients with current active tuberculosis (TB) or atypical mycobacterial infection or a previous history of these infections	1
NCT01704495	Phase 2	Asthma	AstraZeneca	10-Feb-15	Asthma	"Patients with recurrent, latent, or chronic infections"	1
NCT02087644	Phase 2	Asthma	Cytos Biotechnology AG	10-Feb-15	Asthma	Presence of active infectious disease as judged by the investigator	1
NCT03532490	Phase 2	Asthma;Obesity	Johns Hopkins University	10-Feb-15	Asthma	> 0 time use of cannabis in the past 12 months	2
